건물번호,실개수,실높이합계,실둘레합계,실면적합계,벽개수합계,벽높이합계,벽길이합계,벽면적합계,바닥둘레합계,바닥면적합계,기둥개수,기둥길이합계,계단개수,계단단수합계,창호개수,창호면적합계,연면적,대지면적,건축면적,조경면적,층고,건물높이,지하층개수,지상층개수,시공기간,주차대수,총공사비,건축공사비,기계설비공사비,기타공사비,조경공사비,전기설비공사비,토목공사비,소방공사비,면적당총공사비,면적당건축공사비,면적당기계공사비,면적당기타공사비,면적당조경공사비,면적당전기공사비,면적당토목공사비,면적당소방공사비
426,44,105,1254,2381,118,447,1081,3487,694,3385,78,300,3,69,128,380,940.5,6433,943.1,0,8.1,10.5,0,1,180,6,3159221000,2595558000,0,0,0,503592000,35040000,25031000,3359086.656,2759763.955,0,0,0,535451.3557,37256.77831,26614.56672
433,28,68.28,619.95,795.63,143,491,743.08,2388.5,632.17,1673.34,0,0,3,68,80,189.06,861.08,18803,376.58,0,4.2,13.8,1,2,180,0,1687372000,1411497000,0,0,0,158263000,40366000,77246000,1959599.573,1639217.03,0,0,0,183795.9307,46878.33883,89708.27333
435,458,1116.79,6812.57,7539.52,851,2842.6,4313.88,12176.31,1991.67,8995.32,0,0,13,260,673,1511.92,5912.31,67038.4,1740.69,31482.17,3.3,20.7,1,4,540,121,11214999392,6121597558,1832377018,394227006,203375679,1208457401,837000825,617963905,1896889.607,1035398.61,309925.7343,66679.0148,34398.68326,204396.8265,141569.1709,104521.5669
436,76,185.32,1003.54,904.73,150,447.2,650.47,1614.91,330.16,1019.89,0,0,2,36,105,269.71,753.8,126506.2,261.51,0,3,11.2,0,3,180,10,1847317731,1074508698,174759513,77418111,0,354051098,143144530,23435781,2450673.562,1425455.954,231838.0379,102703.7822,0,469688.3762,189897.2274,31090.1844
437,131,319.43,3108.72,5332.24,312,1158.53,2326.86,7198.92,1225.15,5341.51,0,0,9,201,396,1247.4,3605.09,3287,1298.78,730.56,3.6,15.6,1,3,280,18,7079656649,4043525342,1042619086,192819633,103344906,936841900,323428783,437076999,1963794.704,1121615.644,289207.5055,53485.38677,28666.38725,259866.4388,89714.4823,121238.8592
441,285,694.94,3688.33,4011.19,377,1355.3,2252.36,6762.99,921.2,4090.87,0,0,7,151,419,1048.76,2935.61,52777,848.28,0,3.6,16.95,0,4,260,0,7139448262,4542786957,562534372,714017704,25799924,699553531,210510631,384245143,2432015.241,1547476.319,191624.3547,243226.3495,8788.607479,238299.2056,71709.33162,130891.0731
444,68,166,1778,3352,176,697,1269,4190,998,4630,85,335,6,141,228,576,2607.83,1.748,945.27,274.73,3.9,13.05,1,3,300,13,5476862842,3032772793,935069513,193245676,51512770,672138108,179301010,412822972,2100160.993,1162948.809,358562.2962,74102.09868,19753.11658,257738.4676,68754.86899,158301.3356
448,70,171,1423,2203,156,616,976,3198,719,2462,66,273,4,88,149,459,1716.24,16061,650.23,140.12,3.8,11,1,2,300,9,4997950443,3253971276,266971519,163714878,74705154,574319489,356517874,307750253,2912151.239,1895988.484,155556.0522,95391.59908,43528.38414,334638.2144,207731.9454,179316.56
7,150,363.32,4383.92,8215.76,305,1492.95,2797.58,10747.25,2266.43,10599.24,209,1037.1,14,339,277,2770.78,6539,400256.8,2031.02,235714.85,4.5,32.5,1,5,480,94,15846810337,9151520678,2103878906,1075402365,63212052,1809564073,1062851923,580380340,2423430.24,1399529.084,321743.2185,164459.7591,9666.9295,276734.0684,162540.4378,88756.74262
19,356,643.74,5816.98,10373.85,425,1849.2,3721.94,12754.34,1832.66,13367.94,179,754.7,22,408,481,2728.02,9441.3,12276,2125.81,4722.11,4.2,32.5,1,8,660,77,20631397228,9612379557,4454280118,696679187,1024510736,2527030791,1796323018,520193821,2185228.435,1018120.339,471786.7368,73790.59949,108513.736,267657.0802,190262.2539,55097.69004
30,196,477.93,5283.63,8769.84,620,2443.2,4382.77,14575.52,2450.55,12909.17,280,1180.35,12,296,415,2175.85,7598.49,9028.1,3188.29,1659.91,0,18.09,1,4,380,31,15617774016,10692878248,990035985,635027421,288230066,1532977818,1013548244,465076234,2055378.637,1407237.26,130293.7801,83572.84421,37932.54528,201747.6917,133388.1132,61206.40206
33,279,680.31,7113.74,11961.03,601,2257.8,4582.27,13539.94,2885.43,14785.09,321,1195.8,15,319,707,3407.21,10663.49,10761.6,3106.57,2838.05,3.6,21.25,1,5,390,71,20248416310,14092493238,1575721800,480432048,362190320,1975089896,1192238192,570250816,1898854.532,1321564.82,147767.9259,45053.92212,33965.45784,185219.8385,111805.6276,53476.9401
36,470,1146.05,12339.31,20309.1,879,3403.1,8079.44,24955.03,4595.38,26504.04,451,1795.6,37,827,1117,6215.25,19449.94,17310.95,5365.14,2645.2,3.7,22.43,1,5,340,94,29299505511,18031025702,4421800828,816983542,422887588,3285601905,1104038505,1217167441,1506405.959,927047.883,227342.6462,42004.4248,21742.35951,168926.0689,56763.08025,62579.49593
